Date,Region,Category,Product,Segment,Units,Revenue,Profit
2023-03-28,North America,Electronics,"Nimbus Tablet",Enterprise,2,1277,337
2023-03-28,Latin America,Electronics,"Vertex Monitor 27"",SMB,2,450,127
2023-04-01,Latin America,Accessories,"Laptop Sleeve",Government,1,23,10
2023-04-01,North America,Office Supplies,"Ink Cartridge Pack",SMB,9,758,269
2023-04-01,North America,Electronics,"Nimbus Tablet",Enterprise,11,7092,1403
2023-04-01,Europe,Furniture,"Standing Desk Pro",SMB,7,4434,925
2023-04-02,North America,Electronics,"Pulse Smartphone",Consumer,3,2911,651
2023-04-02,Asia Pacific,Accessories,"Wireless Mouse",Consumer,2,85,32
2023-04-02,Middle East,Electronics,"Nimbus Tablet",SMB,3,824,140
2023-04-03,Europe,Electronics,"Vertex Monitor 27"",Government,6,2073,298
2023-04-04,Europe,Accessories,"Mechanical Keyboard",SMB,9,1012,320
2023-04-05,Europe,Office Supplies,"Label Printer",Government,10,2112,534
2023-04-08,Latin America,Software,"Cloud Backup Plan",Government,2,378,223
2023-04-08,Europe,Accessories,"USB-C Hub",Enterprise,5,296,139
2023-04-08,Latin America,Accessories,"Laptop Sleeve",Consumer,1,27,10
2023-04-09,Asia Pacific,Software,"Design Studio License",Government,9,6277,3502
2023-04-10,Middle East,Office Supplies,"Label Printer",Government,6,733,212
2023-04-11,Latin America,Furniture,"Standing Desk Pro",SMB,5,1662,232
2023-04-11,Latin America,Electronics,"Vertex Monitor 27"",Enterprise,2,512,96
2023-04-12,Middle East,Electronics,"Echo Wireless Earbuds",Government,3,277,79
2023-04-12,Asia Pacific,Electronics,"Vertex Monitor 27"",Government,9,3222,503
2023-04-12,Asia Pacific,Software,"Analytics Suite License",SMB,2,2682,1877
2023-04-15,North America,Electronics,"Aurora Laptop 14"",SMB,2,2783,648
2023-04-17,Europe,Office Supplies,"Ink Cartridge Pack",Government,4,278,79
2023-04-17,Europe,Furniture,"Modular Bookshelf",Enterprise,7,1361,220
2023-04-18,North America,Accessories,"Wireless Mouse",Consumer,11,539,131
2023-04-19,Latin America,Software,"Design Studio License",Enterprise,5,2402,1486
2023-04-20,Latin America,Furniture,"Ergo Office Chair",Enterprise,7,1551,209
2023-04-20,Latin America,Office Supplies,"Ink Cartridge Pack",SMB,6,307,84
2023-04-21,Asia Pacific,Furniture,"Ergo Office Chair",Consumer,8,3084,343
2023-04-21,Latin America,Office Supplies,"Stapler Deluxe",Enterprise,2,30,10
2023-04-22,Asia Pacific,Furniture,"Conference Table XL",Consumer,6,5752,397
2023-04-24,Asia Pacific,Software,"Design Studio License",Government,6,5075,3801
2023-04-25,North America,Software,"Cloud Backup Plan",Government,9,2444,1672
2023-04-26,Middle East,Software,"Analytics Suite License",Consumer,2,1232,699
2023-04-26,North America,Furniture,"Modular Bookshelf",Consumer,7,1684,136
2023-04-26,North America,Electronics,"Vertex Monitor 27"",Government,5,2253,760
2023-04-27,North America,Electronics,"Nimbus Tablet",SMB,9,6498,1280
2023-04-28,Europe,Accessories,"Laptop Sleeve",Government,5,194,84
2023-05-01,Europe,Furniture,"Standing Desk Pro",Government,7,4664,643
2023-05-02,Europe,Electronics,"Vertex Monitor 27"",Enterprise,4,1514,413
2023-05-03,Asia Pacific,Electronics,"Vertex Monitor 27"",SMB,9,3623,1169
2023-05-03,North America,Furniture,"Standing Desk Pro",Enterprise,6,3948,698
2023-05-06,Latin America,Software,"Design Studio License",Government,2,1098,797
2023-05-07,Europe,Furniture,"Modular Bookshelf",Enterprise,4,1021,196
2023-05-07,North America,Electronics,"Vertex Monitor 27"",SMB,5,2349,621
2023-05-08,Asia Pacific,Software,"Cloud Backup Plan",Consumer,4,1042,615
2023-05-09,North America,Office Supplies,"Premium Notebook Set",Government,2,68,24
2023-05-11,Europe,Furniture,"Conference Table XL",Enterprise,4,3982,618
2023-05-11,Middle East,Furniture,"Conference Table XL",SMB,6,3466,465
2023-05-11,Europe,Electronics,"Echo Wireless Earbuds",Government,10,1489,278
2023-05-11,North America,Software,"Design Studio License",SMB,4,3476,2395
2023-05-12,North America,Furniture,"Conference Table XL",Consumer,9,12048,2254
2023-05-12,Asia Pacific,Accessories,"Mechanical Keyboard",Government,7,781,298
2023-05-12,Latin America,Accessories,"Mechanical Keyboard",Enterprise,2,201,75
2023-05-13,Asia Pacific,Accessories,"Wireless Mouse",Consumer,5,201,76
2023-05-13,Asia Pacific,Software,"Cloud Backup Plan",Enterprise,5,1269,745
2023-05-14,Asia Pacific,Software,"Analytics Suite License",Consumer,4,5470,3320
2023-05-16,Latin America,Electronics,"Nimbus Tablet",Enterprise,4,1644,314
2023-05-16,Middle East,Software,"Cloud Backup Plan",Consumer,5,774,528
2023-05-16,Latin America,Software,"Security Shield Pro",Enterprise,3,1102,781
2023-05-17,North America,Furniture,"Conference Table XL",SMB,10,9886,694
2023-05-17,Asia Pacific,Furniture,"Ergo Office Chair",SMB,12,4003,636
2023-05-18,Asia Pacific,Software,"Analytics Suite License",SMB,11,15066,8899
2023-05-18,North America,Office Supplies,"Premium Notebook Set",Enterprise,2,65,23
2023-05-19,Asia Pacific,Furniture,"Conference Table XL",Consumer,10,11735,1964
2023-05-19,North America,Electronics,"Echo Wireless Earbuds",Government,4,801,173
2023-05-20,Europe,Furniture,"Standing Desk Pro",SMB,1,533,54
2023-05-20,Latin America,Office Supplies,"Stapler Deluxe",SMB,4,69,24
2023-05-21,Europe,Office Supplies,"Ink Cartridge Pack",SMB,9,504,114
2023-05-22,Asia Pacific,Software,"Analytics Suite License",SMB,10,10716,5147
2023-05-23,Europe,Furniture,"Standing Desk Pro",SMB,5,2987,639
2023-05-23,Latin America,Electronics,"Pulse Smartphone",Government,5,2855,545
2023-05-24,Latin America,Electronics,"Vertex Monitor 27"",Consumer,2,468,106
2023-05-25,Europe,Electronics,"Echo Wireless Earbuds",SMB,2,298,54
2023-05-25,Latin America,Accessories,"Mechanical Keyboard",Enterprise,3,253,71
2023-05-26,Europe,Software,"Analytics Suite License",Enterprise,9,9611,6141
2023-05-27,Latin America,Furniture,"Ergo Office Chair",Consumer,2,531,64
2023-05-28,Asia Pacific,Office Supplies,"Label Printer",Consumer,3,625,173
2023-05-28,Europe,Office Supplies,"Label Printer",SMB,8,1692,576
2023-05-28,Middle East,Software,"Cloud Backup Plan",Consumer,2,323,184
2023-06-01,Middle East,Accessories,"USB-C Hub",Enterprise,2,66,29
2023-06-01,Latin America,Office Supplies,"Ink Cartridge Pack",Enterprise,4,220,79
2023-06-01,Middle East,Electronics,"Echo Wireless Earbuds",SMB,7,506,82
2023-06-01,Middle East,Office Supplies,"Label Printer",SMB,5,632,188
2023-06-01,Middle East,Furniture,"Ergo Office Chair",Consumer,7,1385,161
2023-06-01,Latin America,Office Supplies,"Premium Notebook Set",SMB,3,59,26
2023-06-05,Asia Pacific,Furniture,"Conference Table XL",Consumer,6,6268,1292
2023-06-05,Latin America,Electronics,"Nimbus Tablet",SMB,2,904,197
2023-06-06,Latin America,Furniture,"Ergo Office Chair",Government,3,715,122
2023-06-06,Europe,Accessories,"Mechanical Keyboard",SMB,3,443,137
2023-06-07,Asia Pacific,Furniture,"Ergo Office Chair",Consumer,5,1889,216
2023-06-07,Latin America,Electronics,"Vertex Monitor 27"",Government,3,762,200
2023-06-08,Europe,Office Supplies,"Premium Notebook Set",Consumer,5,143,36
2023-06-08,Europe,Software,"Cloud Backup Plan",Consumer,3,735,379
2023-06-08,Latin America,Accessories,"Wireless Mouse",Consumer,7,253,104
2023-06-08,North America,Electronics,"Aurora Laptop 14"",Government,5,7713,1572
2023-06-09,Europe,Furniture,"Modular Bookshelf",Consumer,1,262,41
2023-06-09,North America,Electronics,"Echo Wireless Earbuds",Government,5,1018,307
2023-06-11,Middle East,Office Supplies,"Stapler Deluxe",Government,4,50,11
2023-06-12,Europe,Office Supplies,"Label Printer",Government,8,1681,636
2023-06-12,Middle East,Accessories,"Wireless Mouse",Government,1,33,13
2023-06-12,Europe,Accessories,"Laptop Sleeve",SMB,2,84,39
2023-06-12,Europe,Accessories,"Wireless Mouse",Consumer,10,416,172
2023-06-13,Europe,Accessories,"Mechanical Keyboard",Government,10,1217,527
2023-06-13,Asia Pacific,Software,"Analytics Suite License",Consumer,3,4158,3046
2023-06-13,North America,Accessories,"USB-C Hub",Government,13,968,370
2023-06-13,Middle East,Accessories,"Mechanical Keyboard",SMB,2,167,67
2023-06-14,Middle East,Software,"Analytics Suite License",Consumer,5,3372,2251
2023-06-14,Asia Pacific,Office Supplies,"Stapler Deluxe",Government,7,189,57
2023-06-16,Latin America,Electronics,"Echo Wireless Earbuds",Consumer,2,183,46
2023-06-17,North America,Office Supplies,"Label Printer",SMB,11,3015,1106
2023-06-17,Europe,Furniture,"Conference Table XL",Consumer,3,2922,106
2023-06-18,Middle East,Office Supplies,"Stapler Deluxe",Government,2,29,9
2023-06-19,North America,Accessories,"Mechanical Keyboard",Enterprise,4,667,248
2023-06-19,Asia Pacific,Accessories,"Laptop Sleeve",Consumer,5,184,79
2023-06-20,Europe,Software,"Design Studio License",SMB,8,7102,4282
2023-06-20,Europe,Furniture,"Standing Desk Pro",Consumer,11,6248,1305
2023-06-21,Middle East,Furniture,"Conference Table XL",Government,5,3320,448
2023-06-21,Middle East,Accessories,"Wireless Mouse",Enterprise,7,175,51
2023-06-22,Asia Pacific,Software,"Analytics Suite License",Enterprise,2,2423,1363
2023-06-23,North America,Office Supplies,"Label Printer",Government,4,836,229
2023-06-23,Middle East,Software,"Design Studio License",SMB,4,1926,1096
2023-06-24,Europe,Office Supplies,"Ink Cartridge Pack",SMB,7,506,205
2023-06-24,Asia Pacific,Electronics,"Nimbus Tablet",SMB,4,2757,692
2023-06-25,North America,Furniture,"Ergo Office Chair",Enterprise,5,2173,431
2023-06-27,Latin America,Accessories,"Laptop Sleeve",Consumer,6,153,72
2023-06-28,North America,Electronics,"Aurora Laptop 14"",Enterprise,3,4256,937
2023-06-28,Asia Pacific,Furniture,"Ergo Office Chair",Enterprise,5,1427,149
2023-06-28,North America,Electronics,"Pulse Smartphone",SMB,13,15455,5143
2023-06-28,North America,Software,"Security Shield Pro",Consumer,6,5251,3981
2023-07-01,Europe,Software,"Cloud Backup Plan",SMB,6,1439,700
2023-07-01,North America,Furniture,"Modular Bookshelf",Consumer,9,2658,410
2023-07-01,North America,Office Supplies,"Stapler Deluxe",SMB,8,215,73
2023-07-03,Latin America,Electronics,"Vertex Monitor 27"",SMB,5,1381,430
2023-07-04,North America,Software,"Analytics Suite License",Consumer,2,3075,2003
2023-07-04,Europe,Furniture,"Modular Bookshelf",Consumer,8,1894,272
2023-07-05,Asia Pacific,Furniture,"Modular Bookshelf",Enterprise,11,2651,446
2023-07-05,Asia Pacific,Furniture,"Standing Desk Pro",Consumer,10,6321,841
2023-07-06,Middle East,Accessories,"Laptop Sleeve",SMB,4,88,31
2023-07-06,North America,Furniture,"Conference Table XL",Government,11,12561,2466
2023-07-07,Europe,Software,"Design Studio License",Consumer,4,3152,1758
2023-07-07,Europe,Software,"Cloud Backup Plan",Consumer,3,705,482
2023-07-07,North America,Software,"Cloud Backup Plan",Enterprise,8,2595,1907
2023-07-07,Asia Pacific,Software,"Design Studio License",Enterprise,9,7345,5051
2023-07-08,Latin America,Electronics,"Aurora Laptop 14"",Consumer,6,5016,1618
2023-07-08,Asia Pacific,Accessories,"Wireless Mouse",Consumer,2,104,44
2023-07-08,Middle East,Furniture,"Standing Desk Pro",Government,3,978,149
2023-07-10,Middle East,Accessories,"Laptop Sleeve",Enterprise,1,26,9
2023-07-11,North America,Office Supplies,"Label Printer",Enterprise,4,899,295
2023-07-12,Europe,Accessories,"USB-C Hub",Enterprise,5,289,114
2023-07-12,Latin America,Software,"Analytics Suite License",Consumer,5,4569,2949
2023-07-13,North America,Electronics,"Vertex Monitor 27"",Enterprise,10,4282,953
2023-07-13,Latin America,Furniture,"Standing Desk Pro",SMB,3,1159,201
2023-07-14,Europe,Furniture,"Modular Bookshelf",SMB,6,1157,168
2023-07-14,Middle East,Electronics,"Aurora Laptop 14"",Enterprise,6,5139,1406
2023-07-15,North America,Software,"Cloud Backup Plan",Government,2,495,317
2023-07-15,North America,Accessories,"Laptop Sleeve",Enterprise,4,173,74
2023-07-15,Asia Pacific,Accessories,"Wireless Mouse",SMB,4,198,69
2023-07-17,Latin America,Software,"Cloud Backup Plan",Consumer,6,983,527
2023-07-17,Latin America,Furniture,"Ergo Office Chair",Enterprise,1,239,32
2023-07-17,Asia Pacific,Furniture,"Conference Table XL",Consumer,5,5490,911
2023-07-18,Middle East,Electronics,"Aurora Laptop 14"",Enterprise,1,720,195
2023-07-18,North America,Furniture,"Standing Desk Pro",Consumer,4,2862,347
2023-07-18,Latin America,Furniture,"Standing Desk Pro",Consumer,1,423,80
2023-07-20,Middle East,Office Supplies,"Stapler Deluxe",Enterprise,1,13,4
2023-07-20,Middle East,Electronics,"Vertex Monitor 27"",Enterprise,5,1097,349
2023-07-22,Asia Pacific,Furniture,"Ergo Office Chair",SMB,9,3051,597
2023-07-22,Latin America,Accessories,"USB-C Hub",Government,6,261,116
2023-07-22,North America,Accessories,"Mechanical Keyboard",Consumer,12,2046,1023
2023-07-22,Middle East,Accessories,"Laptop Sleeve",Government,3,66,24
2023-07-23,Latin America,Furniture,"Modular Bookshelf",Government,1,135,12
2023-07-24,Europe,Office Supplies,"Label Printer",Government,11,2114,683
2023-07-25,Asia Pacific,Furniture,"Ergo Office Chair",Consumer,3,1028,143
2023-07-26,Latin America,Electronics,"Echo Wireless Earbuds",Consumer,4,393,110
2023-07-26,North America,Accessories,"Laptop Sleeve",Government,8,397,164
2023-07-27,Middle East,Software,"Security Shield Pro",SMB,7,3280,1866
2023-08-01,Latin America,Office Supplies,"Label Printer",Consumer,6,918,336
2023-08-01,Latin America,Furniture,"Standing Desk Pro",SMB,4,1754,235
2023-08-03,Asia Pacific,Accessories,"Wireless Mouse",Consumer,10,431,157
2023-08-03,North America,Furniture,"Ergo Office Chair",SMB,10,4260,443
2023-08-04,Middle East,Accessories,"Laptop Sleeve",Enterprise,6,123,54
2023-08-04,North America,Accessories,"Laptop Sleeve",Government,3,136,64
2023-08-04,Middle East,Office Supplies,"Stapler Deluxe",Enterprise,3,38,11
2023-08-05,Latin America,Accessories,"USB-C Hub",Consumer,7,312,145
2023-08-07,Latin America,Furniture,"Ergo Office Chair",SMB,7,1661,213
2023-08-07,Europe,Software,"Security Shield Pro",Government,3,1532,835
2023-08-08,Latin America,Electronics,"Vertex Monitor 27"",Consumer,8,2075,529
2023-08-08,Latin America,Software,"Security Shield Pro",Government,2,875,511
2023-08-10,Asia Pacific,Office Supplies,"Label Printer",Government,2,452,115
2023-08-10,Middle East,Software,"Analytics Suite License",Enterprise,6,4006,2552
2023-08-10,Asia Pacific,Software,"Security Shield Pro",Government,12,7727,5449
2023-08-10,Asia Pacific,Office Supplies,"Label Printer",Consumer,1,175,40
2023-08-11,Middle East,Electronics,"Echo Wireless Earbuds",Consumer,2,186,34
2023-08-11,Europe,Furniture,"Standing Desk Pro",Consumer,8,3707,103
2023-08-12,Asia Pacific,Office Supplies,"Ink Cartridge Pack",SMB,8,464,131
2023-08-12,North America,Office Supplies,"Stapler Deluxe",Government,10,272,91
2023-08-13,North America,Electronics,"Echo Wireless Earbuds",Consumer,5,800,169
2023-08-14,Latin America,Accessories,"Laptop Sleeve",SMB,6,171,57
2023-08-15,North America,Office Supplies,"Ink Cartridge Pack",Consumer,5,398,179
2023-08-15,Middle East,Accessories,"Laptop Sleeve",Enterprise,6,142,58
2023-08-16,Asia Pacific,Furniture,"Modular Bookshelf",SMB,5,1184,174
2023-08-18,Asia Pacific,Office Supplies,"Label Printer",Enterprise,6,1269,427
2023-08-18,Latin America,Accessories,"USB-C Hub",Consumer,2,74,34
2023-08-19,Europe,Office Supplies,"Stapler Deluxe",Government,10,218,59
2023-08-20,North America,Office Supplies,"Label Printer",Enterprise,4,944,273
2023-08-20,North America,Office Supplies,"Label Printer",Government,7,1471,635
2023-08-21,Middle East,Furniture,"Modular Bookshelf",Enterprise,1,118,8
2023-08-23,North America,Office Supplies,"Label Printer",SMB,5,1087,397
2023-08-23,Asia Pacific,Electronics,"Vertex Monitor 27"",Consumer,9,3854,920
2023-08-25,Latin America,Software,"Security Shield Pro",SMB,7,3233,1952
2023-08-26,Middle East,Electronics,"Vertex Monitor 27"",Consumer,6,1260,380
2023-08-26,Latin America,Accessories,"Mechanical Keyboard",Consumer,7,651,252
2023-08-26,Latin America,Electronics,"Pulse Smartphone",Government,4,2363,543
2023-08-27,Latin America,Software,"Analytics Suite License",Government,2,1438,737
2023-08-27,Asia Pacific,Office Supplies,"Stapler Deluxe",SMB,8,209,53
2023-08-27,Europe,Furniture,"Standing Desk Pro",SMB,7,4057,595
2023-08-28,Middle East,Office Supplies,"Ink Cartridge Pack",SMB,6,236,76
2023-09-05,Europe,Office Supplies,"Stapler Deluxe",Government,4,95,35
2023-09-06,Latin America,Accessories,"Mechanical Keyboard",Consumer,7,562,206
2023-09-07,North America,Office Supplies,"Ink Cartridge Pack",Government,6,476,208
2023-09-09,North America,Software,"Security Shield Pro",SMB,6,3981,2696
2023-09-09,Europe,Accessories,"Wireless Mouse",Enterprise,2,77,31
2023-09-10,Middle East,Office Supplies,"Premium Notebook Set",Consumer,5,76,30
2023-09-11,North America,Electronics,"Echo Wireless Earbuds",Consumer,10,1526,435
2023-09-11,Latin America,Accessories,"USB-C Hub",Consumer,3,100,45
2023-09-11,North America,Accessories,"USB-C Hub",Government,3,171,63
2023-09-11,Europe,Accessories,"Laptop Sleeve",SMB,10,365,140
2023-09-11,North America,Office Supplies,"Stapler Deluxe",Enterprise,8,222,90
2023-09-11,North America,Furniture,"Standing Desk Pro",Government,3,1957,239
2023-09-12,Asia Pacific,Accessories,"Mechanical Keyboard",Government,5,509,136
2023-09-13,Middle East,Furniture,"Ergo Office Chair",SMB,5,808,125
2023-09-14,North America,Office Supplies,"Ink Cartridge Pack",SMB,1,79,22
2023-09-14,Asia Pacific,Software,"Analytics Suite License",Government,8,10765,6974
2023-09-15,Europe,Furniture,"Ergo Office Chair",SMB,9,2872,325
2023-09-15,Middle East,Office Supplies,"Premium Notebook Set",Enterprise,5,81,24
2023-09-18,Europe,Software,"Security Shield Pro",SMB,10,6514,3586
2023-09-20,Asia Pacific,Electronics,"Echo Wireless Earbuds",Consumer,9,1136,195
2023-09-21,Asia Pacific,Furniture,"Conference Table XL",SMB,4,3975,522
2023-09-21,North America,Furniture,"Ergo Office Chair",SMB,11,3434,254
2023-09-21,North America,Accessories,"Laptop Sleeve",Consumer,4,146,57
2023-09-22,Middle East,Software,"Design Studio License",Enterprise,5,2261,1525
2023-09-23,Middle East,Electronics,"Pulse Smartphone",Enterprise,1,455,122
2023-10-01,Asia Pacific,Software,"Security Shield Pro",Government,6,3803,2753
2023-10-04,North America,Electronics,"Echo Wireless Earbuds",Government,4,616,125
2023-10-05,North America,Electronics,"Vertex Monitor 27"",Consumer,8,2812,419
2023-10-06,North America,Software,"Cloud Backup Plan",Enterprise,7,1633,997
2023-10-06,North America,Accessories,"USB-C Hub",Enterprise,1,65,26
2023-10-06,Middle East,Software,"Analytics Suite License",Government,3,2204,1609
2023-10-11,Latin America,Office Supplies,"Premium Notebook Set",SMB,4,68,13
2023-10-13,Europe,Accessories,"Laptop Sleeve",Enterprise,2,58,16
2023-10-13,Asia Pacific,Accessories,"USB-C Hub",Enterprise,8,439,134
2023-10-14,Latin America,Furniture,"Ergo Office Chair",Consumer,1,240,27
2023-10-14,Middle East,Accessories,"USB-C Hub",SMB,7,249,100
2023-10-15,Middle East,Furniture,"Ergo Office Chair",Enterprise,3,567,107
2023-10-17,Europe,Software,"Security Shield Pro",SMB,6,3576,2026
2023-10-17,Asia Pacific,Software,"Analytics Suite License",SMB,8,10273,6479
2023-10-17,Latin America,Software,"Analytics Suite License",Government,2,1502,804
2023-10-17,North America,Electronics,"Pulse Smartphone",Government,11,9490,1511
2023-10-18,Europe,Office Supplies,"Ink Cartridge Pack",Enterprise,5,362,146
2023-10-19,Europe,Software,"Cloud Backup Plan",SMB,4,928,624
2023-10-21,Middle East,Furniture,"Modular Bookshelf",Government,4,532,102
2023-10-22,Middle East,Office Supplies,"Label Printer",Government,5,527,236
2023-10-22,Middle East,Electronics,"Vertex Monitor 27"",Enterprise,1,179,46
2023-10-22,North America,Office Supplies,"Premium Notebook Set",Consumer,6,199,80
2023-10-25,Europe,Electronics,"Pulse Smartphone",Government,3,2236,527
2023-10-26,Middle East,Office Supplies,"Ink Cartridge Pack",Government,7,268,71
2023-10-28,North America,Software,"Design Studio License",Consumer,10,9193,6606
2023-10-28,Middle East,Software,"Design Studio License",Government,3,1429,1033
2023-11-02,Asia Pacific,Furniture,"Modular Bookshelf",Government,11,2190,405
2023-11-04,Middle East,Furniture,"Modular Bookshelf",Consumer,3,350,70
2023-11-05,Latin America,Furniture,"Standing Desk Pro",Enterprise,2,724,134
2023-11-07,North America,Electronics,"Nimbus Tablet",Government,2,1201,317
2023-11-08,Latin America,Office Supplies,"Label Printer",Enterprise,6,685,229
2023-11-09,Latin America,Office Supplies,"Premium Notebook Set",Enterprise,3,51,20
2023-11-09,Asia Pacific,Electronics,"Echo Wireless Earbuds",Enterprise,10,1331,273
2023-11-09,Europe,Office Supplies,"Stapler Deluxe",Enterprise,11,254,108
2023-11-09,Middle East,Office Supplies,"Ink Cartridge Pack",SMB,4,158,42
2023-11-10,Middle East,Accessories,"USB-C Hub",Consumer,2,64,29
2023-11-15,Europe,Furniture,"Standing Desk Pro",SMB,10,5241,792
2023-11-15,Europe,Software,"Design Studio License",Government,4,2288,1216
